,SMILES
261,CC(C)C1CCC=2C=CC=CC2N1C(=O)CN3N=CC(=O)C=4C=CC=CC43
262,O=C1NC2(CCCCC2)C(=O)N1C3CCN(C3)C=4C=CC(Cl)=CC4Cl
263,CC1=NC(=NC(C)=C1CC(C)C)N2CCN3C(=NN=C3C2)C=4C=CC=CC4
264,CC(C)C1=CC(=NN1)C(=O)NCC2(CCOCC2)C(=O)O
265,COC=1N=C(C)C=CC1C(=O)N2CCCCC2CC(=O)O
266,NC(=O)CN1CCCN(CC1)C=2C=CN=C3C(=CC=CC23)[N+]([O-])=O
267,CC=1C=CC=C2C(=O)N(C=NC12)CC3=NC=NN3C(C)C
268,O=S(=O)(C=1C=CC=CC1F)N2CCN(CC3=COC=N3)CC2
269,CN1C(=O)C2=CC=CC=C2N=C1CN3CCN(CC3)C(=O)C=4C=CC(Cl)=CC4
270,CC(=O)NCCNC(=O)CCC(=O)N1CCCCC1C2=CC=C(F)C=C2F
271,OCC1(CCCC1)NC=2N=C(N=C3C=CC=CC23)C(F)F
272,O=C(NCC1(CC1)N2CCOCC2)NCC3(CCC3)C=4C=CC(Cl)=CC4
273,CC1CCC(CCC(=O)N2CCC(CC2)C3=NN=CN3)O1
274,CN(C)C(=O)C=1C=CC=C(C1)NC(=O)CN2CC(O)CC3=CC=CC=C32
275,N#CC=1C=CSC1N2CCC(C2=O)N3CCCC(O)(C3)C(F)(F)F
276,CC1=NOC(C)=C1CC(C)NC(=O)N2CC(=O)N(CC3CC3)C2
277,CN(CC(=O)O)CC1CN(CCO1)C(=O)CCN2C(=O)C=3C=CC=CC3C2=O
