num_molecules,num_reactions,num_unique_building_blocks,last_reaction_id,num_building_blocks_last_rxn,MolWt,MolLogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,FractionCSP3,HeavyAtomCount,Property Score
1,0,1,-1,-1,242.032,1.19,1,4,67.49,1,0.0,13,-106.45452117919922
1,0,1,-1,-1,151.165,1.177,2,3,63.32000000000001,1,0.125,11,-94.58448028564452
2,0,2,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-99.48931503295898
2,0,2,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-111.49261474609375
2,0,2,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-105.82701110839844
2,0,2,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-117.52128601074219
2,0,2,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-118.05064010620117
2,0,2,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-118.92825317382812
2,0,2,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-115.24270629882812
2,0,2,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-115.97330856323242
2,0,2,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-108.33934020996094
2,0,2,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-114.9598617553711
2,0,2,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-110.99713897705078
2,0,2,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-112.15952682495117
2,0,2,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-106.51517868041992
2,0,2,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-96.34840393066406
2,0,2,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-104.50060653686523
2,0,2,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-94.79283905029297
2,0,2,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-98.81942749023438
2,0,2,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-111.78305053710938
2,0,2,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-111.15499114990234
2,0,2,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-107.3504409790039
3,0,3,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-115.28476969401042
3,0,3,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-113.0567118326823
3,0,3,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-110.74723815917969
3,0,3,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-115.28698221842448
3,0,3,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-113.62804667154948
3,0,3,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-112.47929382324219
3,0,3,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-113.56890360514323
3,0,3,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-108.91416931152344
3,0,3,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-109.225830078125
3,0,3,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-111.04169209798177
3,0,3,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-114.16647084554036
3,0,3,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-110.96319580078125
3,0,3,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-111.37255350748698
3,0,3,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-113.92225138346355
3,0,3,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-111.20364634195964
3,0,3,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-111.59369405110677
3,0,3,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-113.15006510416667
3,0,3,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-110.54078165690105
3,0,3,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-108.53731536865234
3,0,3,-1,-1,170.124,-0.48510000000000003,3,5,103.54,2,0.16666666666666666,12,-109.67008972167969
1,1,3,275592,3,527.5020000000003,-1.4845999999999977,4,14,215.39999999999998,8,0.47619047619047616,38,-149.94500732421875
