,smiles
158,C=1C=CC=2OC(=NC2C1)C3CCCCN3CC4=NN=C5CCCCCN45
159,C=1C=CC=2OC(=NC2C1)NC3CCN(CC3)C=4N=CC=CN4
160,C=1C=CC=2OC(=NC2C1)NCC=3C=CC=4OCCOC4C3
161,C=1C=CC=2OC(CN3CCN(CC3)C=4N=CC=CN4)=NC2C1
162,C=1C=CC=2OC(COC2C1)C3=NN=C(O3)SCC4CCCO4
163,C=1C=CC=2OC3(C=CC2C1)CCCN(C3)C=4C=CC5=NC=CN=C5N4
164,C=1N=C(OC1CC2=NOC(=N2)C3(CCOCC3)OCC=4C=CC=CC4)C5CC5
165,C=1N=C(SC1CNC(C2=CC=C3OCCOC3=C2)C4CC4)C5CCCO5
166,C=1N=C2C=CC=CN2C1CN3CCN(CC3)C4CCOCC4
167,"C=1N=C2C=NC=CN2C1C3=NOC(=N3)[C@H]4CCN[C@H](C4)C=5C=CC=CC5 |&1:14,18,r|"
168,C=1N=CC(=CN1)CNC2CCCN(CC3=NOC(=N3)C4CC4)C2
169,C=1N=CN(CC2=CN(CC3=CN=CN3CC=4C=CC=CC4)N=N2)N1
170,C=1N=CN(N1)C2CCN(C2)C=3N=CN=C4SC(=CC34)C=5C=CC=CC5
171,C=1N=CN(N1)C=2C=CC(=CC2)CNC3CCCN(C3)C4=CC=CN=N4
172,C=1NC(=NC1C=2C=CC=CC2)C3CCCCN3C4=NC(=NS4)C5CC5
173,C=1NC=2C=CC=CC2C1C3=NN=C4CC5CCC(CN34)N5
174,C=1NC=2N=CC=CC2C1C3=CCN(CC4=CN(CC=5C=CC=CC5)N=C4C=6C=CC=NC6)CC3
175,C=1NN=C(C1CN2CCCC2C3CCCOC3)C=4C=CC=CC4
176,C=1OC(=NC1C2=NC(=NO2)C3CN4CCC3CC4)[C@@H]5CCCN5
177,C=1OC(=NC1C2=NC(=NO2)C=3C=CC=CN3)C=4C=CC=CC4
178,C=1SC(=NC1C2=CN(N=N2)C3CC3)C=4C=CC(=NC4)N5CCCC5
179,C=1SC(=NC1CN2CCC(CC2)OCC=3C=CC=CC3)C=4N=CC=CN4
180,C=1SC(=NC1CN2CCN3C(=NN=C3C2)C4CC4)C=5N=CC=CN5
181,C=1SC=2N=CN=C(NCC3=NN=C4CCCN34)C2C1C=5C=CC=CC5
182,C=C(C)C1OCCC1CNC(=O)C2CCCCN2C(=O)C3=CC=CS3
183,C=C(C)C1OCCC1CNC(=O)CCN2C(=O)SC(C)=C2C
184,C=C(C)C1OCCC1CNC(=O)N2CCC(CC2)C3=CNC4=CC=CC=C34
185,C=C(C)C1OCCC1CNC(=O)N2CCCC2C3=NC4=CC(C)=CC=C4N3
186,C=C(C)C1OCCC1CNC(=O)NC2CS(=O)(=O)C=3C=CC=CC32
